state,box0,box1,box2,box3,box4,box5,box6,box7,box8
120020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
010200020,0.015094359375,0.0,0.00018871874999999998,0.0,-0.00748434375,-1.2281249999999997e-05,-0.0037046015624999998,0.0,7.51875e-05
120212012,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
020012012,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
000012002,-0.005,0.0,0.015,0.0,0.0,0.0,0.0,-1.0,0.0
022001120,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
002000120,0.0,-0.0023995234375,0.0,0.015,3.75703125e-05,-0.0049244375,0.0,-0.5,-0.005
021020012,0.0,0.0,0.0,0.00625,0.0,-1.0,0.0,0.0,0.0
020000012,0.0,0.0,6.269531250000001e-05,0.0,0.0,0.0,0.0,0.0,-0.5
121212200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
121002200,0.0,0.0,0.0,0.00625,0.00625,0.0,0.0,-0.005,0.0
021000200,-0.00746221875,-0.5,0.0,-0.0049244375,-0.0024373046875,-0.002431013671875,0.0,-0.005,-0.00106752734375
002120012,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
000020012,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
101020220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001020200,0.015,0.0,0.0,0.0,-0.5,6.269531250000001e-05,0.0,-0.00496865234375,0.0
122012120,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
020012120,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020002100,-0.0023488750000000003,-0.5,-0.005,-0.005,-0.0010233125000000001,0.0,0.0,-0.0023488750000000003,-0.007500000000000001
100202102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
000202100,0.0,0.0,0.0,0.0,0.015,-0.5,0.0,0.0,0.0
022200011,-0.005,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
022201121,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
022001021,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
211000202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
010000202,-1.0,0.0,0.00015112499999999997,0.0,0.0,0.0,0.0,0.0,0.0
102000221,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
