state,box0,box1,box2,box3,box4,box5,box6,box7,box8
000002010,-2.39955611104846e-05,-0.00408330078125,-0.005,0.0064011250000000006,0.0018333984375000002,0.0,0.003389890625,-0.5,0.0033645468750000003
012021012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
002001012,0.015,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,-0.5
211122120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211122000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,1.0
201120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001020000,0.00015112499999999997,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
122101212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
022101012,0.0,0.0,0.0,0.0,0.0175,0.0,0.005,0.0,0.0
202011021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202011000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
002001000,0.0,0.0,-0.5,0.0,0.0,0.0,0.015,0.0,-0.005
001210002,0.0,-0.005,0.0,-0.5,0.0,0.0,-0.0024373046875,0.0,0.0
000010002,0.0,0.0,0.015,-0.005,-0.5,0.0,0.0,0.0,0.0
012021000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
012000000,1.3648526470500872e-05,0.0,-0.5,2.604310738397965e-05,0.014991619905768824,-2.0655981030667165e-05,-1.676018846235392e-05,1.3963492581505224e-05,0.014989672009484667
101120220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101020200,0.0,0.00015112499999999997,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
001000200,0.015,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-4.98737562421875e-07
122002011,0.0,0.0,0.0,-1.0,0.0,0.0,0.015,0.0,0.0
002002011,-0.005,0.0,0.0,0.0,-1.0,0.0,-0.485,0.0,0.0
002000001,0.015,0.0,0.0,0.0,0.0,-4.91290642393305e-05,0.0,-4.9563085906934743e-05,-0.5
122110212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102100212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
000100212,0.0,-0.0049244375,-0.005,0.0,0.0,-0.005,0.0,0.0,0.0
000100200,0.0,2.5031250000000005e-05,0.0,-0.5,0.015,0.00015189198792345704,0.0,6.269727785110475e-07,0.0
221122101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201122100,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.015,0.0
110220201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
